# Supplementary Table S1 from Fischer et al. 2011. Pressure-volume-temperature data from synchrotron X-ray diffraction experiments.
# Original xls used: 1-s2.0-S0012821X11000963-mmc1.xls
# Footnotes: * B8-FeO observed but no volume/c/a reported because only one non-overlapping peak detected; † rhombohedrally-distorted FeO present; ‡ B8 volume/c/a uncertainty unconstrained due to only two non-overlapping peaks.
P[Pa]	dP[Pa]	T[K]	dT[K]	V_NaCl[m^3/mol]	dV_NaCl[m^3/mol]	V_Fe[m^3/mol]	dV_Fe[m^3/mol]	c/a_Fe	dc/a_Fe	V_B1-FeO[m^3/mol]	dV_B1-FeO[m^3/mol]	V_B8-FeO[m^3/mol]	dV_B8-FeO[m^3/mol]	c/a_B8-FeO	dc/a_B8-FeO
143203174226	154672291.464	300	0	1.12460860245e-05	4.53373744301e-08	4.74213247652e-06	4.86939258889e-09	1.60027426186	0.00109547953647	nan	nan	7.72951871065e-06	‡	2.02432680097	‡
143455593862	908825347.877	3024.73	130.772447022	1.17633062494e-05	9.51640325197e-09	4.9111207441e-06	2.08350391949e-08	1.60169251469	0.00453003541153	8.13665562179e-06	8.21152400015e-09	nan	nan	nan	nan
145777263580	643140666.67	1223.44	103.998430757	1.1243982692e-05	3.59568390626e-08	4.77301291916e-06	1.79819965301e-08	1.6028238471	0.00402568543113	nan	nan	7.78151200273e-06	5.16753239767e-08	2.00523380759	0.00887754690177
147654611308	435969392.52	1358.27	105.220021384	1.12781572117e-05	4.48258756555e-08	4.76873848928e-06	9.54194867136e-09	1.59995418496	0.00213427244176	nan	nan	7.76947427388e-06	4.23865501878e-08	2.00548819941	0.00729399212173
149416499480	464352740.451	1504.74	106.716013794	1.12688154343e-05	4.62919825762e-08	4.7660543113e-06	1.00702058949e-08	1.59986514289	0.00225357222008	nan	nan	7.78465238833e-06	6.10951507064e-08	1.99997496758	0.0104640743485
150931710626	326693114.812	1387.37	105.503444967	1.12249812375e-05	3.57644798963e-08	4.74959493815e-06	2.21654425131e-09	1.60128662258	0.000498193032486	nan	nan	7.76972991893e-06	3.70856306163e-08	2.0137122755	0.00640775508681
151276298094	545547386.206	1664.79	108.543466409	1.12279073675e-05	4.33239476711e-08	4.76373376371e-06	1.28212445611e-08	1.60085823695	0.00287239603521	nan	nan	7.78991555512e-06	7.67615012552e-08	2.00146069864	0.0131482065365
151642718111	439174672.044	1600.77	107.788927539	1.12372635929e-05	2.56873256355e-08	4.75757604125e-06	8.25312523547e-09	1.60299754958	0.00185384874064	nan	nan	7.77491671701e-06	4.5894140441e-08	2.01462649415	0.00792802072134
152892591291	413001346.274	1818.05	110.473084957	1.12657082998e-05	4.65065615763e-08	4.76274088699e-06	4.51021154431e-09	1.60182899939	0.00101126470611	nan	nan	7.78676616841e-06	4.34842529836e-08	2.00943297028	0.00748095677064
154375230355	470014162.859	2016.9	113.223716597	1.12908464003e-05	3.81556589454e-08	4.76561448935e-06	6.53146626061e-09	1.60352605255	0.00146513128351	7.89015830927e-06	1.77051890825e-08	7.81965082165e-06	4.9060779824e-08	2.01399043615	0.00842390055593
154403304942	442290125.098	1983.92	112.748952988	1.12658534623e-05	4.22012305458e-08	4.76337371654e-06	4.73036842987e-09	1.60258320893	0.00106098596903	7.91036472933e-06	9.41418942879e-09	7.81673635199e-06	4.79777193371e-08	2.01094039315	0.00822852653942
154727609514	423422040.38	2005.26	113.055329817	1.12533394787e-05	3.71602192584e-08	4.76264267128e-06	1.76030408483e-09	1.60222292224	0.000394794759898	7.89728298413e-06	1.83881973702e-08	7.79350882686e-06	4.64715075634e-08	2.01323961514	0.00800309437684
155412795765	510764835.009	2047.94	113.677102356	1.12726148707e-05	4.8881611543e-08	4.76095997307e-06	8.77481606969e-09	1.60243251305	0.00196893772764	7.8821959386e-06	2.17780207424e-08	7.78200902526e-06	4.48089574731e-08	2.01539475319	0.00773645447202
155503124877	516648317.717	2135.24	114.985640843	1.12599102679e-05	4.06104290967e-08	4.76589149598e-06	8.35106720991e-09	1.60412494412	0.00187389288136	7.89105420557e-06	1.84968747806e-08	7.81375897461e-06	4.95130903252e-08	2.01243402993	0.00850139932404
155744599219	496841352.439	2189.56	115.824149468	1.12597283838e-05	3.79360837944e-08	4.76781329682e-06	6.4244883109e-09	1.60379019968	0.00144070677682	7.90694428347e-06	1.13285585139e-08	7.78860390388e-06	4.38661128755e-08	2.01349981227	0.00756014052753
155982534269	545536112.242	2153.67	115.268074071	1.12659917961e-05	4.48729020293e-08	4.76400920013e-06	9.83978293706e-09	1.60319417221	0.00220753599161	7.90644260238e-06	8.9228729447e-09	7.7876678501e-06	5.12288537281e-08	2.01285909283	0.00882732939878
